empid|flightrisk|currentsalary|joblevel|yearseducation|travelamt|gender
22806|low|45486|6|12|80|Male
22807|high|48880|3|13|90|Male
22808|low|46843|6|12|50|Male
22809|high|49768|3|12|100|Male
22810|low|58941|5|14|70|Male
22811|low|55412|5|14|90|Male
22812|high|45753|4|12|70|Female
22813|low|55181|6|13|80|Male
22814|high|46951|6|12|100|Female
22815|low|59172|7|14|40|Female
22816|low|48508|7|14|60|Female
22817|low|45247|5|14|40|Male
22818|low|56293|6|14|60|Male
22819|high|57874|3|12|90|Female
22820|low||6|12|60|Male
22821|low|57589|7|13|50|Female
22822|high|49642|4|13|80|Female
22823|low|51267|5|13|60|Male
22824|low|48638|6|14|40|Male
22825|high|55624|3|14|50|Female
22826|low|52704|7|13|30|Female
22827|low|52424|5|14|80|Male
22828|high|45835|6|14|50|Male
22829|low|55911|6|13|30|Male
22830|high|56261|5|14|80|Male
22831|low|49755|6|12|70|Male
22832|low|48238|6|13|70|Male
22833|low|49932|5|13|90|Male
22834|high|56941|3|12|30|Female
22835|low|53121|3|13|80|Female
22836|low|47203|3|14|20|Male
22837|low|45007|3|13|50|Female
22838|high|52480|4|12|80|Female
22839|low|51586|5|12|50|Male
22840|low|58185|5|14|90|Male
22841|low|57001|6|12|60|Male
22842|high|56684|6|14|0|Male
22843|low|48644|4|12|80|Male
22844|low|59293|3|14|40|Male
22845|low|53428|5|13|90|Female
22846|high|57953|4|14|50|Male
22847|high|45910|5|14|90|Male
22848|low|49406|3|12|20|Female
22849|high|45448|6|14|30|Female
22850|high|58752|4|13|10|Male
22851|low|58226|5|12|0|Male
22852|low|49347|6|12|0|Female
22853|low|59669|3|14|0|Male
22854|high|57087|4|12|70|Female
22855|high|45307|5|14|80|Female
22856|high|61084|7|17|0|Male
22857|high|81533|6|16|30|Female
22858|low|83027|7|19|40|Female
22859|high|79355|7|17|30|Male
22860|high|72862|5|18|70|Female
22861|low|86703|5|17|80|Female
22862|high|84273|6|18|50|Male
22863|high|70929|5|20|70|Female
22864|high|64376|5|16|100|Female
22865|high|65774|7|18|50|Male
22866|low|65471|5|17|50|Male
22867|high|65065|5|20|40|Female
22868|high|62046|7|18|10|Female
22869|high|80125|6|17|10|Male
22870|low|87503|6|17|30|Male
22871|high|68734|5|20|60|Female
22872|high|67893|6|17|30|Male
22873|high|72828|5|20|90|Male
22874|low|88980|7|16|70|Male
22875|high|65860|7|18|10|Female
22876|high|85933|5|18|0|Male
22877|high|62525|7|16|20|Male
22878|low|85706|6|19|90|Female
22879|high|76215|7|17|10|Male
22880|high|72341|7|17|90|Female
22881|low|60084|5|19|20|Female
22882|high|85999|6|16|0|Female
22883|high|62824|5|16|30|Female
22884|low|82393|6|18|90|Male
22885|high|62156|5|20|40|Male
22886|high|81358|7|16|20|Male
22887|high|86225|6|18|90|Female
22888|high|87018|5|17|70|Female
22889|high|71844|7|19|70|Male
22890|high|64739|7|18|50|Female
22891|high|86654|6|20|10|Male
22892|high|61881|7|16|80|Male
22893|high|87964|6|20|90|Female
22894|high|64910|5|16|40|Female
22895|high|64250|7|16|50|Female
22896|high|85116|7|17|80|Female
22897|high|86508|5|18|50|Female
22898|high|89885|5|17|60|Female
22899|high|63499|7|18|10|Male
22900|high|66620|5|17|100|Male
22901|high|88801|5|19|50|Male
22902|high|74040|6|20|0|Female
22903|high|78321|7|19|70|Male
22904|high|76701|6|20|60|Female
22905|high|77994|6|17|70|Male
22906|medium|58880|3|16|20|Female
22907|medium|58715|4|16|40|Female
22908|medium|57395|3|14|50|Female
22909|medium|57371|4|15|50|Female
22910|medium|67974|3|16|70|Female
22911|medium|65851|2|14|80|Female
22912|medium|67066|1|15|20|Female
22913|medium|58821|4|16|50|Female
22914|medium|67156|2|16|10|Female
22915|medium|55091|3|14|100|Female
22916|medium|68039|1|15|80|Female
22917|medium|58600|2|15|30|Female
22918|medium|61313|2|16|20|Female
22919|medium|65833|3|14|50|Female
22920|medium|69434|3|14|10|Female
22921|medium|66924|4|14|30|Female
22922|medium|57325|1|15|60|Female
22923|medium|61596|1|14|50|Female
22924|medium|66057|1|14|40|Female
22925|medium|69030|4|16|60|Female
22926|medium|62362|3|16|10|Female
22927|medium|64394|1|14|0|Female
22928|medium|67681|4|14|50|Female
22929|medium|67239|3|15|10|Female
22930|medium|59936|4|15|90|Female
22931|medium|56548|4|15|50|Female
22932|medium|66921|3|15|90|Female
22933|medium|65054|4|16|30|Female
22934|medium|57900|1|15|100|Female
22935|medium|56671|3|15|40|Female
22936|medium|60658|3|14|50|Female
22937|medium|62815|2|15|0|Female
22938|medium|65038|4|14|90|Female
22939|medium|63089|3|14|80|Female
22940|medium|62770|2|14|60|Female
22941|medium|68317|1|15|40|Female
22942|medium|56796|1|14|0|Female
22943|medium|66839|4|16|40|Female
22944|medium|65419|2|14|80|Female
22945|medium|66894|1|14|30|Female
22946|medium|60331|4|15|20|Female
22947|medium|66654|3|15|90|Female
22948|medium|66271|2|15|30|Female
22949|medium|55179|1|15|10|Female
22950|medium|64403|1|14|10|Female
22951|medium|60043|2|15|10|Female
22952|medium|58038|2|14|20|Female
22953|medium|56830|3|15|100|Female
22954|medium|68160|4|16|20|Female
22955|medium|64429|2|14|0|Female
22956|low|47312|6|12|90|Male
22957|low|49098|6|14|90|Male
22958|low|53355|5|12|30|Male
22959|low|58781|4|12|80|Female
22960|low|55145|3|12|100|Female
22961|low|82449|5|15|100|Female
22962|high|48888|4|14|50|Female
22963|low|51921|6|14|40|Female
22964|low|57664|4|14|70|Male
22965|low|55696|6|13|80|Male
22966|low|52440|6|12|80|Male
22967|low|58903|5|12|80|Female
22968|low|50204|5|13|60|Male
22969|low|47093|5|12|100|Female
22970|low|53962|5|12|80|Female
22971|low|55232|6|12|70|Male
22972|low|48845|3|13|70|Male
22973|low|59183|5|12|40|Female
22974|low|51485|6|12|50|Male
22975|low|46098|4|13|70|Male
22976|high|46536|3|12|10|Female
22977|low|52447|6|12|90|Male
22978|low|52735|6|13|60|Female
22979|low|50012|6|12|70|Female
22980|low|55653|6|13|30|Male
22981|medium|47075|6|14|90|Female
22982|low|49209|3|14|0|Female
22983|low|53976|3|14|80|Male
22984|low|48214|4|12|70|Male
22985|low|50792|5|14|10|Male
22986|medium|51748|3|12|30|Male
22987|low|58772|5|12|70|Male
22988|low|59466|5|14|80|Male
22989|low|46113|4|13|30|Female
22990|low|55317|6|14|70|Male
22991|low|57050|7|12|70|Female
22992|low|50838|7|12|60|Female
22993|low|53224|5|12|70|Male
22994|low|53601|5|12|50|Male
22995|low|50279|5|13|60|Male
22996|low|45787|3|13|40|Male
22997|low|56360|3|12|30|Female
22998|low|50205|5|13|20|Female
22999|low|50548|4|13|80|Male
23000|low|50110|6|12|50|Female
23001|medium|51477|4|12|60|Female
23002|low|58884|4|14|70|Male
23003|low|53684|4|12|50|Male
23004|low|49478|3|12|100|Male
23005|low|56458|5|13|50|Male
23006|high|64432|5|19|30|Male
23007|high|79664|7|16|0|Male
23008|high|62788|6|17|60|Female
23009|high|77709|7|17|20|Male
23010|high|65410|5|18|30|Female
23011|high|74386|6|18|40|Female
23012|high|75902|6|19|80|Female
23013|low|89069|5|17|80|Female
23014|medium|78370|5|18|50|Female
23015|high|86500|6|19|80|Female
23016|low|80076|7|17|70|Male
23017|high|70059|6|19|40|Female
23018|high|88432|7|16|60|Female
23019|high|72958|5|18|50|Female
23020|high|71444|6|16|20|Female
23021|high|61251|5|16|40|Female
23022|high|83015|5|17|50|Female
23023|high|63687|7|20|70|Male
23024|high|67154|5|18|0|Female
23025|high|76292|7|20|60|Female
23026|high|73575|5|20|20|Female
23027|high|75106|7|16|90|Female
23028|high|84819|6|20|50|Male
23029|high|84982|7|18|30|Female
23030|high|74726|7|18|80|Female
23031|high|64391|6|20|30|Male
23032|high|88708|7|16|80|Female
23033|high|72367|6|16|70|Female
23034|high|61683|7|17|60|Male
23035|high|84239|5|17|10|Female
23036|high|80819|7|18|10|Female
23037|high|68650|5|16|20|Male
23038|high|72779|5|17|80|Female
23039|high|86590|7|19|60|Female
23040|high|75888|7|20|90|Male
23041|high|77018|6|20|50|Male
23042|high|60127|7|19|80|Female
23043|high|61748|5|19|40|Male
23044|high|83572|5|19|10|Female
23045|high|70866|6|19|40|Female
23046|high|80543|6|16|100|Male
23047|high|71568|5|19|20|Male
23048|high|66456|5|16|80|Male
23049|high|88471|5|18|20|Female
23050|high|80050|5|18|40|Male
23051|high|69207|5|19|40|Female
23052|high|77452|7|17|30|Male
23053|high|83076|6|20|30|Male
23054|high|62529|6|20|0|Female
23055|high|71186|6|20|30|Female
23056|medium|61340|1|15|10|Female
23057|medium|68801|2|15|60|Female
23058|medium|65160|3|16|90|Female
23059|medium|65184|4|14|50|Female
23060|medium|69590|2|14|50|Female
23061|medium|62464|4|15|20|Female
23062|medium|65703|4|14|90|Female
23063|medium|59135|4|14|40|Female
23064|medium|56307|1|15|40|Female
23065|medium|58384|2|15|10|Female
23066|medium|55825|3|15|50|Female
23067|medium|65803|2|15|40|Female
23068|medium|63123|1|16|80|Female
23069|medium|66442|4|15|90|Female
23070|medium|56764|2|14|30|Female
23071|medium|59569|3|14|60|Female
23072|medium|55227|1|16|30|Female
23073|medium|64883|3|15|90|Female
23074|medium|63269|1|15|10|Female
23075|medium|58519|1|16|90|Female
23076|medium|55111|3|16|10|Female
23077|medium|65749|1|15|60|Female
23078|medium|60477|3|16|30|Female
23079|medium|56983|4|15|80|Female
23080|medium|61515|4|14|30|Female
23081|medium|55576|4|14|40|Female
23082|medium|63495|3|15|70|Female
23083|medium|68658|1|15|0|Female
23084|medium|69949|4|16|70|Female
23085|medium|67194|1|16|20|Female
23086|medium|63091|2|14|90|Female
23087|medium|55287|1|16|90|Female
23088|medium|64294|1|16|70|Female
23089|medium|55360|1|16|30|Female
23090|medium|59553|1|14|20|Female
23091|medium|60116|3|14|50|Female
23092|medium|63796|3|14|80|Female
23093|medium|69273|2|14|40|Female
23094|medium|61116|4|14|40|Female
23095|medium|58278|3|15|50|Female
23096|medium|63389|3|14|20|Female
23097|medium|55616|2|14|70|Female
23098|medium|67402|2|15|40|Female
23099|medium|63339|3|15|30|Female
23100|medium|59139|3|14|60|Female
23101|medium|61594|2|16|40|Female
23102|medium|58436|1|14|10|Female
23103|medium|65957|4|15|100|Female
23104|medium|62189|1|15|20|Female
23105|medium|60361|1|14|40|Female
23106|low|54215|3|12|70|Female
23107|low|55641|5|14|60|Male
23108|low|54787|5|14|20|Male
23109|low|52831|6|14|90|Female
23110|low|59342|5|13|90|Female
23111|low|56766|5|12|70|Male
23112|low|52056|3|12|50|Male
23113|low|59340|6|12|60|Female
23114|low|51111|5|12|50|Male
23115|low|57035|4|12|50|Male
23116|low|58114|3|12|90|Male
23117|high|58754|4|14|90|Male
23118|low|58147|3|12|50|Male
23119|low|54277|5|14|20|Female
23120|high|55460|3|14|20|Male
23121|low|55041|3|14|50|Female
23122|low|55621|6|12|100|Male
23123|low|54058|4|14|90|Male
23124|low|46467|6|12|70|Female
23125|low|46088|4|12|80|Female
23126|low|54268|5|12|80|Male
23127|low|52174|6|12|70|Male
23128|low|51173|5|12|90|Female
23129|high|49624|6|12|40|Male
23130|high|46594|4|14|30|Female
23131|low|52148|4|14|50|Male
23132|low|59923|4|14|60|Female
23133|low|56264|6|12|0|Female
23134|high|46626|3|12|100|Male
23135|low|52141|4|12|90|Female
23136|low|57794|4|13|40|Male
23137|low|53766|5|12|30|Female
23138|low|54865|4|13|80|Male
23139|low|47771|6|12|60|Female
23140|low|55442|3|12|60|Female
23141|low|54760|4|13|70|Male
23142|low|47802|5|13|60|Male
23143|low|46105|6|14|80|Male
23144|low|59929|5|13|60|Female
23145|low|56893|6|12|90|Male
23146|low|58247|3|14|50|Male
23147|low|57601|5|13|90|Female
23148|low|53575|3|12|70|Female
23149|low|55322|3|13|80|Female
23150|low|56639|4|14|90|Male
23151|low|57327|3|14|40|Female
23152|low|45445|6|12|50|Female
23153|medium|50849|5|12|60|Female
23154|low|50667|4|12|70|Female
23155|low|55396|3|12|60|Male
23156|high|66500|5|19|20|Female
23157|high|85803|5|20|60|Female
23158|high|75878|6|17|10|Female
