Percent Return;Team Size;Leader Gender;Aggregate Sales Experience
-10;2;Female;53
80;4;Female;60
-10;3;Female;42
-10;4;Female;52
-10;5;Female;52
-10;3;Female;48
-10;1;Female;50
-10;3;Female;44
-10;3;Female;52
80;4;Female;58
-10;5;Female;55
-10;3;Female;50
80;2;Female;56
-10;3;Female;43
-10;5;Female;44
-10;2;Female;47
-10;3;Female;44
-10;5;Female;41
-10;2;Female;53
-10;3;Female;42
-10;3;Female;49
80;1;Female;57
-10;3;Female;49
-10;4;Female;45
80;2;Female;59
80;3;Female;56
-10;4;Female;40
-10;4;Female;49
80;3;Female;59
-10;2;Female;54
-10;4;Female;53
-10;4;Male;49
-10;5;Female;55
-10;2;Female;45
-10;2;Female;53
-10;3;Female;55
-10;4;Male;52
80;2;Female;56
-10;2;Female;48
80;4;Female;58
-10;2;Female;48
-10;1;Female;43
-10;1;Female;46
-10;5;Female;41
-10;4;Female;40
-10;1;Female;44
-10;3;Female;53
-10;2;Female;54
80;1;Female;59
-10;4;Female;43
-10;5;Female;48
-10;3;Female;42
-10;3;Female;52
-10;5;Female;43
-10;5;Female;45
-10;1;Female;42
80;1;Female;59
-10;3;Female;47
-10;2;Female;44
-10;3;Female;45
80;2;Female;60
80;5;Female;59
80;1;Female;58
-10;1;Female;42
-10;4;Female;44
-10;2;Female;44
-10;5;Female;54
-10;18;Female;41
-10;19;Female;49
-10;17;Female;44
80;20;Female;58
80;17;Female;60
-10;17;Female;45
-10;21;Female;50
79;18;Female;59
-10;18;Female;54
-10;15;Female;52
-10;17;Female;49
-10;19;Female;55
-10;20;Female;54
-10;20;Female;55
-10;15;Female;44
-10;20;Female;49
-10;20;Female;40
-10;17;Female;40
-10;20;Female;46
79;19;Female;59
79;15;Female;60
79;21;Female;60
-10;19;Female;46
-10;15;Male;43
-10;15;Female;50
79;20;Female;56
79;17;Female;57
-10;19;Female;41
-10;15;Female;42
-10;19;Female;41
-10;16;Female;55
-10;17;Female;55
-10;15;Female;51
79;17;Female;60
-10;18;Female;46
-10;18;Female;55
79;15;Female;57
-10;18;Female;50
-10;18;Female;55
79;17;Female;57
-10;20;Female;53
79;19;Female;60
-10;16;Female;48
79;15;Female;56
-10;19;Female;47
79;21;Female;57
-10;21;Female;40
79;20;Female;56
-10;16;Female;52
-10;15;Female;40
79;4;Female;57
-9;1;Female;40
-9;4;Female;40
-9;1;Female;43
79;1;Female;58
79;5;Female;59
-9;3;Female;40
-9;5;Female;45
-9;2;Female;40
-9;3;Female;43
-9;3;Female;41
79;5;Female;56
79;5;Female;59
-9;5;Female;42
79;2;Female;59
-9;1;Female;47
-9;4;Female;50
-9;3;Female;47
-9;3;Female;52
79;4;Female;57
-9;1;Female;44
79;4;Female;59
-9;5;Female;51
-9;3;Female;55
-9;5;Female;50
-9;1;Female;54
-9;4;Female;54
-9;4;Male;49
-9;5;Female;55
-9;5;Female;43
-9;1;Female;43
79;2;Female;56
-9;2;Female;47
-9;3;Female;52
79;2;Female;58
-9;3;Female;40
-9;2;Female;47
-9;4;Female;47
-9;1;Female;51
-9;2;Female;47
-9;5;Female;40
-9;5;Female;45
-9;5;Female;52
-9;4;Female;54
-9;4;Female;48
-9;4;Female;45
-9;1;Female;45
-9;18;Female;43
-9;17;Female;55
-9;17;Female;43
79;18;Female;58
-9;21;Female;46
-9;20;Female;52
-9;20;Female;40
-9;16;Female;51
-9;21;Female;43
-9;18;Female;43
-9;16;Female;41
-9;15;Female;51
79;15;Female;58
-9;20;Female;47
-9;21;Female;43
-9;18;Female;43
-9;20;Female;49
-9;18;Female;51
-9;16;Female;46
-9;17;Female;50
-9;15;Female;52
79;20;Female;56
79;15;Female;57
-9;20;Female;45
-9;16;Female;51
-9;15;Female;52
-9;16;Female;47
-9;17;Female;41
-9;16;Female;48
-9;20;Female;45
-9;16;Female;53
79;21;Female;57
-9;19;Female;50
-9;18;Male;40
-9;20;Female;42
-9;21;Female;54
-9;21;Female;49
-9;17;Female;47
-9;15;Female;47
79;19;Female;60
-9;21;Female;48
-9;18;Female;51
-9;15;Female;42
-9;16;Female;49
-9;16;Female;43
-9;18;Female;55
-9;19;Female;48
79;20;Female;57
79;17;Female;57
-8;1;Female;52
-8;3;Female;41
-8;5;Female;52
-8;4;Female;45
-8;5;Female;43
-8;2;Female;50
-8;2;Female;40
-8;4;Female;55
78;4;Female;57
-8;3;Female;48
78;4;Female;57
-8;2;Female;50
-8;5;Female;43
-8;3;Female;41
-8;5;Female;55
-8;4;Female;55
-8;5;Female;44
-8;5;Female;44
-8;5;Female;46
-8;4;Female;48
-8;2;Female;43
-8;5;Female;49
-8;2;Female;52
-8;4;Female;40
-8;2;Female;51
78;4;Female;56
-8;1;Female;53
-8;1;Female;43
-8;2;Female;54
78;4;Female;60
-8;1;Female;51
-8;4;Female;45
78;3;Female;58
-8;4;Female;45
-8;1;Female;47
-8;1;Female;49
-8;5;Female;40
-8;1;Male;42
78;4;Female;56
78;3;Female;58
-8;1;Female;50
-8;1;Female;48
-8;4;Female;51
-8;4;Female;42
-8;2;Female;52
-8;1;Female;50
-8;5;Female;47
-8;5;Female;41
-8;4;Female;55
-8;1;Female;54
-8;2;Female;42
-8;3;Female;52
-8;4;Female;41
-8;2;Female;53
-8;4;Female;46
-8;4;Female;44
-8;2;Female;43
78;3;Female;57
-8;5;Female;44
78;2;Female;57
78;2;Female;57
-8;5;Female;40
-8;4;Female;52
-8;18;Female;51
-8;17;Female;50
-8;17;Female;54
-8;21;Female;47
-8;17;Female;53
-8;20;Female;49
-8;16;Female;42
78;20;Female;58
-8;16;Female;45
-8;18;Female;47
78;17;Female;60
-8;15;Female;46
-8;15;Female;43
-8;21;Female;50
-8;20;Female;54
-8;19;Female;49
78;16;Female;56
78;19;Female;56
-8;20;Female;54
-8;16;Female;44
78;18;Female;60
78;18;Female;60
-8;16;Female;49
-8;15;Female;43
78;21;Female;58
-8;17;Female;46
-8;16;Female;49
-8;18;Male;53
-8;21;Female;45
-8;18;Female;41
-8;17;Female;42
-8;18;Female;49
-8;19;Female;48
-8;19;Female;41
78;17;Female;56
-8;21;Female;47
-8;18;Female;50
-8;15;Female;41
-8;20;Female;53
78;18;Female;59
78;19;Female;57
-8;18;Female;42
-8;20;Female;54
-7;5;Female;42
-7;4;Female;49
78;5;Female;56
-7;3;Female;50
-7;1;Female;41
-7;2;Female;47
-7;4;Female;41
-7;3;Female;44
-7;4;Female;54
-7;2;Female;53
-7;5;Female;50
78;1;Female;58
-7;3;Female;55
78;2;Female;56
-7;1;Female;52
78;3;Female;58
-7;2;Female;47
77;5;Female;60
-7;5;Female;44
-7;4;Female;41
-7;4;Female;51
-7;1;Female;41
77;4;Female;58
-7;4;Female;44
-7;2;Female;43
-7;4;Female;41
-7;5;Female;55
77;3;Female;56
-7;2;Female;54
-7;3;Female;45
-7;4;Female;49
-7;2;Female;55
-7;4;Female;41
77;2;Female;60
77;2;Female;58
77;3;Female;58
77;5;Female;58
-7;4;Female;53
-7;2;Male;53
-7;3;Female;42
-7;1;Female;54
-7;2;Female;49
-7;2;Female;43
77;4;Female;57
-7;4;Female;49
-7;1;Female;53
-7;4;Female;44
-7;1;Female;53
-7;3;Female;49
-7;3;Female;53
-7;4;Female;48
77;5;Female;57
-7;1;Female;45
-7;2;Female;48
-7;4;Female;52
-7;4;Female;40
-7;3;Female;50
-7;4;Female;53
77;1;Female;56
-7;5;Female;46
-7;2;Female;44
-7;4;Female;52
-7;1;Female;40
-7;5;Female;48
77;1;Female;57
-7;2;Female;53
-7;3;Female;46
-7;5;Female;49
77;3;Female;58
-7;1;Female;40
77;3;Female;57
77;16;Female;56
-7;17;Female;42
-7;19;Female;46
-7;17;Female;41
-7;15;Female;42
-7;20;Female;54
-7;17;Female;50
-7;20;Female;54
77;15;Female;60
-7;18;Female;48
-7;20;Female;45
-7;20;Female;54
77;18;Female;56
-7;20;Female;54
-7;21;Female;40
77;20;Female;58
77;19;Female;59
77;15;Female;60
-7;16;Female;47
-7;18;Female;55
77;16;Female;57
-7;15;Female;42
77;17;Female;59
-7;18;Female;49
-7;20;Female;51
-7;17;Female;47
-7;18;Female;42
-7;17;Female;55
-7;17;Female;47
-7;19;Female;52
-7;19;Female;53
-7;17;Female;44
77;17;Female;59
-7;16;Female;49
