Course|Rating
ACCT 202|3
MGMT 330|4
FIN 366|1
MGMT 320|4
FIN 360|4
FIN 462|3
ACCT 201|3
ECON 210|3
BUAD 497|5
ECON 233|4
MKT 328|4
ECON 272|3
MGMT 349|4
MKT 329|2
ACCT 307|2
FIN 467|1
BUAD 203|3
MGMT 347|1
BUAD 301|5
BUAD 201|2
ACCT 302|5
ECON 369|3
BUAD 392|1
BUAD 391|4
ECON 101|1
MKT 320|3
ACCT 317|4
MKT 325|4
BUAD 205|3
ACCT 301|4
MGMT 340|4
ECON 200|1
BUAD 388|5
BUAD 389|3
FIN 361|2
MGMT 375|1
ECON 102|4
ECON 332|4
FIN 466|2
ECON 271|4
MGMT 331|2
FIN 461|4
MKT 323|3
MGMT 339|1
FIN 369|4
ECON 340|5
MKT 425|5
FYS 100|4
ECON 480|3
IBUS 381|5
ACCT 312|5
FIN 363|3
ACCT 328|1
ACCT 311|4
ACCT 305|2
MKT 424|3
ECON 230|5
ECON 310|3
ECON 105|1
IBUS 388|2
MKT 421|4
ECON 260|1
MKT 423|4
MKT 422|5
IBUS 411|3
MGMT 350|2
ACCT 310|5
MTEC 400|5
ECON 334|1
22578 - BUAD 389|4
MKT 326|3
ECON 211|4
BUAD 202|3
ECON 269|4
ACCT 320|3
MKT 327|3
FIN 200|2
BUAD 396|4
MGMT 365|4
MKT 428|3
ECON 300|3
ECON 231|4
ECON 331|2
MKT 324|5
BUS 999|5
ECON 372|1
ECON 491|3
FIN 464|2
MGMT 450|3
IBUS 390|3
FIN 368|1
MGMT 333|5
MGMT 348|5
FIN 468|3
ACCT 313|5
ECON 201|3
ACCT 315|1
ECON 341|2
IBUS 389|2
ECON 490|2
ECON 333|5
MGMT 355|5
ECON 330|3
MGMT 344|3
ECON 232|2
ACCT 318|2
