title,link,pubDate,guid
"b'Apple says it will begin offering dedicated US presidential election coverage in News, including curated guides, special features, and other resources (Joe Rossignol/MacRumors)'",b'http://www.techmeme.com/200203/p11#a200203p11',"b'Mon, 03 Feb 2020 10:10:18 -0500'",b'http://www.techmeme.com/200203/p11#a200203p11'
"b'BlackBerry says TCL Communications will stop manufacturing BlackBerry-branded phones on August 31, 2020 as its licensing deal comes to an end (Ben Schoon/9to5Google)'",b'http://www.techmeme.com/200203/p10#a200203p10',"b'Mon, 03 Feb 2020 10:05:02 -0500'",b'http://www.techmeme.com/200203/p10#a200203p10'
"b""YouTube details how it's cracking down on election disinformation: removing doctored and misleading videos, as well as those questioning candidate's eligibility (Cat Zakrzewski/Washington Post)""",b'http://www.techmeme.com/200203/p9#a200203p9',"b'Mon, 03 Feb 2020 09:55:02 -0500'",b'http://www.techmeme.com/200203/p9#a200203p9'
"b""Sources: Jeff Bezos, inspired by Elon Musk's Gigafactory in Nevada, pushed for Amazon to aggressively pursue large incentives for its HQ2 project in NY and VA (Bloomberg)""",b'http://www.techmeme.com/200203/p8#a200203p8',"b'Mon, 03 Feb 2020 09:45:04 -0500'",b'http://www.techmeme.com/200203/p8#a200203p8'
"b'UK-based Rimilia, which provides tools to automate cash and credit management, raises $15M, bringing its total raised to $40M (Annie Musgrove/Tech.eu)'",b'http://www.techmeme.com/200203/p7#a200203p7',"b'Mon, 03 Feb 2020 08:50:01 -0500'",b'http://www.techmeme.com/200203/p7#a200203p7'
"b'Sources: Apple supplier Wistron to assemble key iPhone component at its plant in Bengaluru, highlighting its push to expand manufacturing in India (Sankalp Phartiyal/Reuters)'",b'http://www.techmeme.com/200203/p6#a200203p6',"b'Mon, 03 Feb 2020 08:35:06 -0500'",b'http://www.techmeme.com/200203/p6#a200203p6'
"b'Wheel, a platform connecting doctors and nurse practitioners to telemedicine companies, raises $13.9M Series A led by CRV (Steven Loeb/VatorNews)'",b'http://www.techmeme.com/200203/p5#a200203p5',"b'Mon, 03 Feb 2020 08:15:03 -0500'",b'http://www.techmeme.com/200203/p5#a200203p5'
"b'Financial services giant Worldline will acquire Ingenico, the point-of-sale terminal provider that controls 37% of the global market, for $8.6B (Ingrid Lunden/TechCrunch)'",b'http://www.techmeme.com/200203/p4#a200203p4',"b'Mon, 03 Feb 2020 07:00:35 -0500'",b'http://www.techmeme.com/200203/p4#a200203p4'
"b'Profile of Klarna, a Sweden-based payments company offering post-purchase financing to consumers, as it launches in Australia after adding $200M in new funding (Julian Bajkowski/iTnews)'",b'http://www.techmeme.com/200203/p3#a200203p3',"b'Mon, 03 Feb 2020 05:55:04 -0500'",b'http://www.techmeme.com/200203/p3#a200203p3'
"b""Gaana, the most popular music streaming service in India, has 152M monthly users, over half of Spotify's global user base and double Apple Music's global count (Newley Purnell/Wall Street Journal)""",b'http://www.techmeme.com/200203/p2#a200203p2',"b'Mon, 03 Feb 2020 04:05:19 -0500'",b'http://www.techmeme.com/200203/p2#a200203p2'
b'Google Photos trials an $8/month subscription program that sends 10 prints of automatically-selected pics from the previous month; users get to choose a theme (Abner Li/9to5Google)',b'http://www.techmeme.com/200203/p1#a200203p1',"b'Mon, 03 Feb 2020 01:30:04 -0500'",b'http://www.techmeme.com/200203/p1#a200203p1'
"b'Justworks, which offers HR tools like health benefits access, payroll, and compliance support to SMBs, raises $50M Series E, bringing its total raised to $143M (FinSMEs)'",b'http://www.techmeme.com/200202/p12#a200202p12',"b'Sun, 02 Feb 2020 21:35:18 -0500'",b'http://www.techmeme.com/200202/p12#a200202p12'
"b'How doctors and nurses are using TikTok to demystify the medical profession by sharing info on topics like sex education, vaping, coronavirus, and nutrition (Emma Goldberg/New York Times)'",b'http://www.techmeme.com/200202/p11#a200202p11',"b'Sun, 02 Feb 2020 20:20:07 -0500'",b'http://www.techmeme.com/200202/p11#a200202p11'
"b'Israel-based serverless computing startup Nuweba raises $10.2M in an expanded seed round, bringing its total raised to $15M (Mike Wheatley/SiliconANGLE)'",b'http://www.techmeme.com/200202/p10#a200202p10',"b'Sun, 02 Feb 2020 19:10:02 -0500'",b'http://www.techmeme.com/200202/p10#a200202p10'
"b'Uber suspends 240 accounts of users in Mexico who came into contact with two drivers who possibly had the coronavirus, to help contain its potential spread (Justin Villamil/Bloomberg)'",b'http://www.techmeme.com/200202/p9#a200202p9',"b'Sun, 02 Feb 2020 18:10:03 -0500'",b'http://www.techmeme.com/200202/p9#a200202p9'
